Name,Close-to,Subdivision,Block Number,Lot Number,Lot Status,List Price,Size [sqft],Listing Agent,Listing Agent Phone Number,Listing Firm,Listing Link,Location
1304 Giuseppe Verdi Ave,Lake,Section 1,1,01,Sold,,,,,,,"26.04998, -97.55175"
1308 Giuseppe Verdi Ave,Lake,Section 1,1,02,Sold,,,,,,,"26.05021, -97.55231"
1312 Giuseppe Verdi Ave,Lake,Section 1,1,03,Sold,,,,,,,"26.05060, -97.55275"
1316 Giuseppe Verdi Ave,Lake,Section 1,1,04,Sold,,,,,,,"26.05081, -97.55261"
1320 Giuseppe Verdi Ave,Lake,Section 1,1,05,Sold,,,,,,,"26.05105, -97.55255"
1324 Giuseppe Verdi Ave,Lake,Section 1,1,06,Sold,,,,,,,"26.05130, -97.55249"
1328 Giuseppe Verdi Ave,Lake,Section 1,1,07,Sold,,,,,,,"26.05156, -97.55245"
1311 Giuseppe Verdi Ave,School,Section 1,2,01,Sold,,,,,,,"26.05063, -97.55300"
1315 Giuseppe Verdi Ave,School,Section 1,2,02,Sold,,,,,,,"26.05095, -97.55303"
1319 Giuseppe Verdi Ave,School,Section 1,2,03,Sold,,,,,,,"26.05115, -97.55296"
1323 Giuseppe Verdi Ave,School,Section 1,2,04,Sold,,,,,,,"26.05135, -97.55292"
1327 Giuseppe Verdi Ave,School,Section 1,2,05,Sold,,,,,,,"26.05156, -97.55288"
1332 Giuseppe Verdi Ave,Lake,Section 2,1,08,Listed,160000,16142,Ralph Burks,19567786702,Keller Williams Realty,https://kw.com/property/1332-GIUSEPPE-VERDI-AVE-OLMITO-TX-78575/1985632728121024,"26.0518, -97.5524"
1336 Giuseppe Verdi Ave,Lake,Section 2,1,09,Sold,140000,14103,Jose Nieto,19564554347,Keller Williams Realty,https://kw.com/property/1336-GIUSEPPE-VERDI-AVE-OLMITO-TX-78575/2043642608449870,"26.05206, -97.55236"
1340 Giuseppe Verdi Ave,Lake,Section 2,1,10,Listed,140000,13855,Patricia Montemayor,19562660260,Coldwell Banker,https://www.zillow.com/homedetails/LOT-10-Giuseppe-Verdi-Ave-Olmito-TX-78575/457179061_zpid,"26.0524, -97.5523"
1344 Giuseppe Verdi Ave,Lake,Section 2,1,11,Available,140000,13862,For Sale By Owner,19563055246,Lago Bello,https://www.lagobello.com/lots/1344-giuseppe-verdi-ave,"26.0526, -97.5524"
1348 Giuseppe Verdi Ave,Lake,Section 2,1,12,Available,140000,13719,For Sale By Owner,19563055246,Lago Bello,https://www.lagobello.com/lots/1348-giuseppe-verdi-ave,"26.05294, -97.55240"
1352 Giuseppe Verdi Ave,Lake,Section 2,1,13,Listed,140000,12747,Luis Vera,19564552232,Liz Realty,https://www.zillow.com/homedetails/1352-Giuseppe-Verdi-Ave-Olmito-TX-78575/460320215_zpid,"26.0532, -97.5523"
1356 Giuseppe Verdi Ave,Lake,Section 2,1,14,Reserved,175000,12496,,,,,"26.0535, -97.5523"
1360 Giuseppe Verdi Ave,Lake,Section 2,1,15,Under Contract,140000,12888,,,,,"26.05374, -97.55241"
1331 Giuseppe Verdi Ave,School,Section 2,2,06,Under Contract,90000,7135,,,,,"26.05177, -97.55282"
1335 Giuseppe Verdi Ave,School,Section 2,2,07,Under Contract,90000,6979,,,,,"26.05194, -97.55283"
1339 Giuseppe Verdi Ave,School,Section 2,2,08,Sold,75000,7610,Ralph Burks,19567786702,Keller Williams Realty,https://www.kw.com/property/1339-GIUSEPPE-VERDI-AVE-OLMITO-TX-78575/1985623082229120,"26.0521, -97.5528"
1343 Giuseppe Verdi Ave,School,Section 2,2,09,Sold,75000,7590,Jose Nieto,19564554347,Keller Williams Realty,,"26.05232, -97.55288"
1347 Giuseppe Verdi Ave,School,Section 2,2,10,Under Contract,73000,8147,Luis Vera,19564552232,Liz Realty,https://www.zillow.com/homedetails/1347-Giuseppe-Verdi-Ave-Olmito-TX-78575/460320178_zpid,"26.05251, -97.55289"
1351 Giuseppe Verdi Ave,School,Section 2,2,11,Under Contract,90000,7941,,,,,"26.05272, -97.55289"
1355 Giuseppe Verdi Ave,School,Section 2,2,12,Under Contract,90000,7941,,,,,"26.05291, -97.55289"
1359 Giuseppe Verdi Ave,School,Section 2,2,13,Listed,80000,7941,Ralph Burks,19567786702,Keller Williams Realty,https://www.kw.com/property/1359-GIUSEPPE-VERDI-AVE-OLMITO-TX-78575/1985630011747072,"26.0531, -97.5528"
1363 Giuseppe Verdi Ave,School,Section 2,2,14,Reserved,90000,7854,For Sale By Owner,19563055246,Lago Bello,,"26.0533, -97.5528"
1367 Giuseppe Verdi Ave,School,Section 2,2,15,Reserved,90000,11151,,,,,"26.05362, -97.55281"
1364 Giuseppe Verdi Ave,Lake,Section 3,1,16,Future,140000,12049,,,,,"26.05404, -97.55242"
1368 Giuseppe Verdi Ave,Lake,Section 3,1,17,Future,140000,12049,,,,,"26.05431, -97.55249"
1372 Giuseppe Verdi Ave,Lake,Section 3,1,18,Future,140000,12049,,,,,"26.05458, -97.55256"
1376 Giuseppe Verdi Ave,Lake,Section 3,1,19,Future,140000,12049,,,,,"26.05485, -97.55262"
1380 Giuseppe Verdi Ave,Lake,Section 3,1,20,Future,140000,12049,,,,,"26.05504, -97.55281"
1384 Giuseppe Verdi Ave,Park,Section 3,1,21,Future,120000,12666,,,,,"26.05490, -97.55304"
1388 Giuseppe Verdi Ave,Park,Section 3,1,22,Future,120000,12049,,,,,"26.05453, -97.55307"
1392 Giuseppe Verdi Ave,Park,Section 3,1,23,Future,120000,12049,,,,,"26.05426, -97.55301"
1396 Giuseppe Verdi Ave,Park,Section 3,1,24,Future,120000,12009,,,,,"26.05389, -97.55291"
1400 Giacomo Puccini,School,Section 3,2,16,Future,80000,,,,,,"26.05355, -97.55308"
1404 Giacomo Puccini,School,Section 3,2,17,Future,100000,,,,,,"26.05370, -97.55327"
1408 Giacomo Puccini,Retention Pond,Section 3,2,18,Future,100000,,,,,,"26.05381, -97.55343"
1412 Giacomo Puccini,Retention Pond,Section 3,2,19,Future,80000,,,,,,"26.05393, -97.55363"
1416 Giacomo Puccini,Retention Pond,Section 3,2,20,Future,80000,,,,,,"26.05411, -97.55372"
1420 Giacomo Puccini,Retention Pond,Section 3,2,21,Future,80000,,,,,,"26.05428, -97.55380"
1424 Giacomo Puccini,Retention Pond,Section 3,2,22,Future,80000,,,,,,"26.05455, -97.55377"
1428 Giacomo Puccini,Retention Pond,Section 3,2,23,Future,100000,,,,,,"26.05466, -97.55383"
1432 Giacomo Puccini,Canal,Section 3,2,24,Future,100000,,,,,,"26.05480, -97.55378"
1436 Giacomo Puccini,Canal,Section 3,2,25,Future,80000,,,,,,"26.05487, -97.55366"
1440 Giacomo Puccini,Canal,Section 3,2,26,Future,80000,,,,,,"26.05511, -97.55351"
1444 Giacomo Puccini,Canal,Section 3,2,27,Future,80000,,,,,,"26.05522, -97.55334"
1448 Giacomo Puccini,Canal,Section 3,2,28,Future,80000,,,,,,"26.05533, -97.55316"
1452 Giacomo Puccini,Canal,Section 3,2,29,Future,80000,,,,,,"26.05544, -97.55298"
